"","true","tpm","rf","brt_tpm","brt","brt_sprs"
"1",0,527.040385710185,398.24462304313,309.174500931835,277.332274799772,367.433803482368
"2",0,790.554117370507,383.636842464445,1017.93837949926,1628.15198118738,1461.58513337709
"3",2050,6135.89387002628,5191.93781847776,6288.53210984047,5733.66580655762,5878.11840338174
"4",0,1638.77995342295,1950.08873474563,844.508060291296,666.54300521187,887.786431119069
"5",3300,3605.83478814314,8151.610805981,3414.78022024438,3147.41892015128,3194.34549139125
"6",14468,8559.72658187348,8107.53963630815,6562.06963675708,7307.76229432225,6817.91392161501
"7",58324,8307.36921867834,10243.6828373909,6984.672344798,7506.04537134265,6763.22276751986
"8",1297,3032.13818517646,4026.20801714213,3664.01431314954,3963.94701709979,3870.82560799053
"9",0,433.620271397963,437.839351606142,905.639299754967,1212.61920456514,808.281680140563
"10",323,4513.29640618186,2716.28540699277,5229.20535621669,5861.20336644311,5290.54065306907
"11",330,1542.10773137097,1723.02290379515,1490.30482805262,2079.13590079139,2242.65240199181
"12",0,782.052989354947,990.685216329386,446.59098335803,668.233171113041,527.133043030179
"13",82,6463.3402407963,5783.05611816448,4757.74534576858,4000.71820145358,4285.14569692916
"14",673,2261.85126925672,637.640098313542,2034.01238946797,1752.35656416487,1798.12552754019
"15",358,1160.78903685746,1485.94213291229,1172.39893673827,1315.42868086723,1191.72747850127
"16",89,1345.55251227132,740.660028825219,29.3640064297294,91.3961153492578,377.62536751908
"17",73,1225.32372697641,432.00045113041,510.930222222788,326.355071375343,278.361639095137
"18",0,1152.14717304138,1250.67754485323,1167.12528121764,1290.98536874673,1235.68206654818
"19",4188,13271.9353686876,10660.7088716147,7808.25352429196,10358.6835555789,8931.07398712566
"20",2290,7873.44132449628,5975.61144245388,8579.4855635101,8096.74172299782,7950.09816482589
"21",0,2486.50282641877,2226.05219056658,1937.24171496708,1761.54726270851,1578.31318612211
"22",385,2541.90921469007,1272.60307758731,2667.5806352546,2743.57834216144,2457.79450271454
"23",102,2369.1620004635,3106.68281783199,1539.98715957087,1718.36734831584,1793.02115534432
"24",319,8377.26137998359,9684.09835470926,8310.97806771954,8605.43422010519,7874.09541657092
"25",5569,8022.2380005363,19879.0753713879,15817.6651602973,14007.7138951455,14771.6096352288
"26",285,2999.90739126911,5127.9949981975,3706.17259334704,3909.5752453888,3722.68223440028
"27",6330,2461.13707554294,1879.63615254471,2898.15201113226,2893.6626444182,2883.96398268602
"28",725,1701.66080954408,3499.75937330306,2561.62880978637,2514.46812409571,2476.55897837387
"29",0,2382.50995255847,1924.10012340614,2402.4416131731,2559.87896088418,2750.47983120413
"30",0,1613.72293109425,1019.58018842019,2330.76056190378,2398.38665805124,2634.51061885412
"31",4770,1551.9765954409,992.358677779336,958.147324314387,499.868163558977,1024.33329082985
"32",392,2103.50792138914,3062.00971211593,3275.89338436129,4016.92480999283,3673.96732854619
"33",61,1306.05312982952,619.200600232256,1732.67387678175,1879.63679911618,2095.98655949537
"34",2253,1072.61976637576,1510.13853972844,1571.93557686636,2162.82039096186,2076.71031468372
"35",8155,699.666933982835,341.46201622529,307.606664879873,277.791032166461,325.003501163419
"36",7393,1900.51048793485,2906.89172228681,2043.66143847102,2491.51308694678,2314.25940300961
"37",1274,4237.159080342,12791.1467465235,7469.48950051917,12795.3776471422,8463.44126733342
"38",0,2293.02909394178,1158.37844863744,1882.03694817692,2021.8104589576,2022.23036362371
"39",0,516.182798078611,497.039331457762,179.874306123188,75.1270333076295,118.501114563691
"40",0,1113.06456162787,3106.88019503056,1246.06179730092,1535.90164073179,1670.75047173868
"41",66,1645.0900575777,439.224017703605,65.8922704985085,-13.9888121598374,409.554460095623
"42",9027,4738.09305479587,12242.2031149579,4581.14582193174,4047.58253623496,4163.54276022947
"43",0,1096.05907796883,837.224924043737,1171.58666123009,1225.30929444519,1357.2283262762
"44",945,13573.1164221529,7644.59680453008,8208.41331121501,7608.52695263219,7622.74861186847
"45",447,770.480520475846,1203.70595269325,264.146958045509,336.756946742784,48.4252016493999
"46",133,616.825937827402,411.093223633478,161.381454731668,33.5214785996711,101.394152005206
"47",91,611.143774688416,979.115992503579,165.367758027755,2.27356024114979,50.0150863415328
"48",731,2155.33935880395,2017.86051162751,2428.93319142075,2479.38615613318,2655.13972448329
"49",260,445.947200168346,702.071141960086,282.889733052558,144.574465444397,213.002231903609
"50",27651,8015.1303809282,14389.0988288239,9672.54360784606,11228.507242505,11549.7780696556
"51",0,337.31495501859,146.786457055494,58.0688111372025,-325.758869801794,-291.320161066743
"52",4661,273.545011105751,413.3583869642,29.8482323699811,-4.19831925770927,-279.839359366477
"53",0,876.465978109409,644.164815034729,522.659918597089,478.397630937942,441.371961048478
"54",0,320.888245664316,304.402167688013,202.00006141347,-142.672349142588,69.3958958832524
"55",220,409.731983389871,544.01397964368,-235.524782655689,-427.950707446985,-621.705956011909
"56",1574,1612.67550337662,1625.6832670026,2643.72836395076,2915.43720957991,3062.41071545671
"57",892,2960.16938122652,1678.20430227856,1790.13548525117,1588.79188445622,2182.16317878487
"58",0,1612.10709172652,790.162017963087,2264.82475478203,2530.61841860036,2524.89456251174
"59",0,3086.80165359584,4183.06352597971,3758.58526446963,3954.6561171946,3875.34373989202
"60",3637,2913.41782966312,2548.04232398693,2639.50809119567,2979.61361702473,2977.26211326018
"61",320,1355.00696951338,727.742160979479,858.571367040383,1172.53548280833,1143.08266519802
"62",1090,10248.863208347,6759.5679536897,7748.53942372326,11265.7282287524,9219.03357664857
"63",0,1769.94253442217,1724.50251016986,2251.78165528088,2408.46537472224,2410.81620939933
"64",340,1195.3523382156,2412.79564528254,2413.28406041438,3058.90428408039,2872.97046008658
"65",280,623.493891200158,279.228924349813,115.387430438908,-97.5243779510192,36.5261386071556
"66",480,1868.28819628176,3003.93619635786,1495.74481144255,1649.98450204222,1677.0854586417
"67",1621,966.59559868199,754.386714668379,1103.40481413129,975.001245788345,939.84791430789
"68",683,874.00001084956,701.365603950846,860.090509431661,871.664691163131,814.93588327297
